Year,State/UT,Sector,CO₂ Emissions (Million Tonnes),CH₄ Emissions (Million Tonnes CO₂e),N₂O Emissions (Million Tonnes CO₂e),Energy Consumption (TWh),Electricity Generation (TWh),Fossil Fuel Consumption (MTOE),Vehicle Count (Million Units),Industrial Output (GDP Contribution in ₹ Cr),Agricultural Land Usage (Million Hectares),Deforestation Rate (sq. km per year),Waste Generation (Million Tonnes),Renewable Energy Share (%),Carbon Footprint (Million Tonnes CO₂e),Energy Emissions (Million Tonnes CO₂e),Transport Emissions (Million Tonnes CO₂e),Industrial Emissions (Million Tonnes CO₂e),Deforestation Emissions (Million Tonnes CO₂e),Waste Emissions (Million Tonnes CO₂e),Total Sector Emissions (Million Tonnes CO₂e)
2006,Gujarat,Energy,224.26,14.9,9.02,40.25,279.66,107.25,47.16,9144.38,48.15,107.42,47.2,6.88,3031.7599999999998,0.036225,108.46799999999999,337.8375,0.05371,264.32000000000005,710.7154350000001
2019,Jharkhand,Waste,132.17,4.2,6.28,152.16,188.59,218.93,35.95,36044.41,46.64,27.46,35.83,39.76,1913.97,0.13694399999999998,82.685,689.6295,0.013730000000000001,200.64800000000002,973.1131740000001
2014,Meghalaya,Transport,341.46,12.53,9.38,269.18,81.57,17.66,30.39,36520.51,42.7,31.41,27.45,18.72,3178.0,0.242262,69.89699999999999,55.629,0.015705,153.72,279.503967
2010,Kerala,Energy,71.69,47.87,13.96,373.22,174.96,14.73,8.88,71955.77,37.77,51.19,91.14,69.71,5111.45,0.33589800000000003,20.424,46.3995,0.025595,510.384,577.568993
2007,Tripura,Agriculture,430.54,15.94,9.69,416.05,86.6,162.34,23.88,68045.72,27.01,58.79,61.55,59.24,3444.71,0.37444500000000003,54.92399999999999,511.371,0.029395,344.68,911.3788400000001
2020,Gujarat,Agriculture,132.8,8.41,16.71,172.23,118.43,227.48,24.91,98903.38,11.43,8.36,23.72,61.49,4796.43,0.155007,57.293,716.5619999999999,0.00418,132.832,906.8461869999999
2006,Nagaland,Waste,187.11,36.06,11.11,469.7,116.99,198.76,31.98,73374.56,13.46,171.17,68.37,41.59,4140.94,0.42273000000000005,73.554,626.0939999999999,0.085585,382.872,1083.028315
2018,Manipur,Agriculture,320.0,41.51,7.78,124.11,305.61,199.95,18.37,23049.89,8.9,8.79,23.82,43.75,3543.9800000000005,0.111699,42.251,629.8425,0.004395,133.392,805.601594
2022,Goa,Waste,10.5,16.04,15.67,44.89,205.58,90.63,7.35,35228.18,42.57,152.56,77.09,18.2,4612.17,0.040401000000000006,16.904999999999998,285.48449999999997,0.07628,431.704,734.2101809999999
2010,Uttar Pradesh,Energy,241.65,14.29,8.68,462.88,318.29,148.33,43.94,17538.68,1.31,57.4,55.36,54.0,2941.97,0.416592,101.06199999999998,467.2395,0.0287,310.016,878.762792
