Year,State/UT,Sector,CO₂ Emissions (Million Tonnes),CH₄ Emissions (Million Tonnes CO₂e),N₂O Emissions (Million Tonnes CO₂e),Energy Consumption (TWh),Electricity Generation (TWh),Fossil Fuel Consumption (MTOE),Vehicle Count (Million Units),Industrial Output (GDP Contribution in ₹ Cr),Agricultural Land Usage (Million Hectares),Deforestation Rate (sq. km per year),Waste Generation (Million Tonnes),Renewable Energy Share (%)
2006,Gujarat,Energy,224.26,14.9,9.02,40.25,279.66,107.25,47.16,9144.38,48.15,107.42,47.2,6.88
2019,Jharkhand,Waste,132.17,4.2,6.28,152.16,188.59,218.93,35.95,36044.41,46.64,27.46,35.83,39.76
2014,Meghalaya,Transport,341.46,12.53,9.38,269.18,81.57,17.66,30.39,36520.51,42.7,31.41,27.45,18.72
2010,Kerala,Energy,71.69,47.87,13.96,373.22,174.96,14.73,8.88,71955.77,37.77,51.19,91.14,69.71
2007,Tripura,Agriculture,430.54,15.94,9.69,416.05,86.6,162.34,23.88,68045.72,27.01,58.79,61.55,59.24
2020,Gujarat,Agriculture,132.8,8.41,16.71,172.23,118.43,227.48,24.91,98903.38,11.43,8.36,23.72,61.49
2006,Nagaland,Waste,187.11,36.06,11.11,469.7,116.99,198.76,31.98,73374.56,13.46,171.17,68.37,41.59
2018,Manipur,Agriculture,320.0,41.51,7.78,124.11,305.61,199.95,18.37,23049.89,8.9,8.79,23.82,43.75
2022,Goa,Waste,10.5,16.04,15.67,44.89,205.58,90.63,7.35,35228.18,42.57,152.56,77.09,18.2
2010,Uttar Pradesh,Energy,241.65,14.29,8.68,462.88,318.29,148.33,43.94,17538.68,1.31,57.4,55.36,54.0
2010,Kerala,Energy,448.18,12.47,10.36,272.21,351.58,193.1,1.72,86338.69,14.08,79.68,44.28,53.56
2023,Karnataka,Energy,343.4,19.97,19.89,178.93,246.61,198.64,6.83,84742.49,30.66,115.59,65.51,44.03
2020,Punjab,Energy,200.07,4.82,15.75,449.56,165.85,145.57,22.86,91445.21,49.31,44.95,87.16,53.46
2003,Assam,Transport,333.61,33.62,17.12,388.99,343.43,200.29,44.45,66315.72,15.6,15.35,40.38,77.96
2007,Arunachal Pradesh,Transport,468.92,41.2,11.9,417.06,229.18,7.71,5.22,27617.45,11.32,191.42,68.87,76.8
2023,Goa,Energy,102.02,33.35,7.03,149.71,343.49,235.71,36.91,89771.14,4.69,165.65,36.38,76.72
2002,Telangana,Agriculture,270.59,21.35,19.83,437.38,109.84,217.77,14.4,27997.98,14.92,151.88,36.15,8.6
2021,Sikkim,Waste,125.02,14.8,4.96,326.64,228.47,13.93,3.89,39023.65,41.51,106.9,83.9,64.34
2020,Tripura,Industry,428.57,20.77,17.47,370.32,88.64,105.41,44.76,3165.37,7.42,127.53,54.86,72.82
2001,Puducherry,Waste,363.31,21.48,18.23,159.65,280.85,229.95,48.62,58222.16,8.27,172.87,40.52,68.73
2023,Chhattisgarh,Industry,402.53,33.47,16.37,126.28,236.82,128.69,6.68,44121.4,8.0,77.77,20.22,25.28
2011,Nagaland,Industry,472.08,46.44,2.37,207.05,224.62,23.77,44.81,65142.07,6.7,20.92,79.64,34.51
2005,Meghalaya,Energy,123.83,3.99,17.1,289.73,257.45,241.66,32.44,96826.43,23.2,168.19,63.05,12.86
2001,Haryana,Industry,33.87,47.69,13.31,334.66,153.28,90.26,10.15,6670.9,41.55,12.55,72.04,47.98
2020,Tripura,Energy,152.54,45.55,13.65,251.49,80.83,129.55,33.61,10056.69,23.52,183.71,43.65,2.36
2000,Puducherry,Transport,205.58,6.33,15.75,350.94,323.53,158.36,40.59,56847.81,27.66,144.39,30.88,58.39
2011,Uttar Pradesh,Agriculture,316.33,9.59,9.86,355.62,156.83,208.28,24.74,99791.48,29.02,89.09,72.47,14.66
2021,Punjab,Industry,400.88,15.92,5.42,334.71,395.63,218.41,45.48,29511.55,19.88,123.07,8.72,61.37
2011,Sikkim,Agriculture,181.4,28.2,11.54,129.29,195.0,163.62,26.47,54108.47,17.62,107.01,66.04,27.55
2024,Karnataka,Energy,242.01,7.16,2.26,225.93,198.56,237.16,9.35,21167.54,32.01,80.31,97.68,79.51
2016,Jharkhand,Industry,394.88,10.42,13.53,384.05,272.74,55.54,35.49,53443.71,18.16,25.71,81.47,33.23
2009,Telangana,Waste,120.41,45.18,9.71,444.05,268.36,226.3,33.88,19153.59,6.73,161.67,73.25,65.71
2015,Tripura,Transport,116.39,5.91,10.1,253.08,76.3,48.33,32.06,18534.78,43.27,117.55,44.15,17.59
2014,Kerala,Transport,298.72,20.24,3.8,493.46,112.56,223.72,44.0,34529.78,29.74,140.51,1.73,41.73
2014,Rajasthan,Industry,223.67,38.27,0.92,91.48,96.45,54.76,26.44,94022.3,41.6,41.68,98.49,56.39
2018,West Bengal,Transport,474.96,44.48,12.26,116.07,26.1,180.09,35.24,66285.0,24.38,40.26,92.07,42.33
2011,Goa,Waste,184.94,17.13,13.21,233.07,13.85,204.42,47.74,37795.61,32.53,167.8,49.86,60.05
2022,Uttarakhand,Agriculture,382.18,8.64,10.02,256.83,259.77,98.24,6.97,64228.66,46.05,109.47,68.77,51.31
2019,Punjab,Waste,295.72,36.98,15.34,215.12,201.94,29.26,19.39,20750.29,37.69,90.57,56.02,52.82
2024,Chhattisgarh,Transport,36.74,38.74,11.32,218.05,358.37,91.27,11.02,64109.28,18.19,18.65,69.03,12.25
2002,Tamil Nadu,Agriculture,51.35,49.01,16.98,246.19,123.8,16.34,16.26,92104.78,17.09,85.24,5.47,67.09
2004,Himachal Pradesh,Waste,109.55,7.41,5.83,163.48,316.07,165.17,25.58,93757.25,14.35,140.72,99.84,6.38
